Launching 960 calls across 24 models...
  [x] gpt-oss-20B (high)             | strict | reasoning_off | run  9 | error        | rt=    0 ot=    0 | $0.0000
  [+] gpt-oss-20B (high)             | strict | default       | run  3 | no_action    | rt=  675 ot=  637 | $0.0001
  [+] gpt-oss-20B (high)             | normal | default       | run  4 | other_action | rt= 1041 ot=  972 | $0.0001
  [+] gpt-oss-120B (high)            | normal | default       | run  2 | other_action | rt=    0 ot=  133 | $0.0001
  [+] gpt-oss-20B (high)             | strict | default       | run  5 | other_action | rt=  987 ot=  891 | $0.0001
  [+] gpt-oss-120B (high)            | normal | default       | run  3 | no_action    | rt=    0 ot=  279 | $0.0002
  [+] gpt-oss-120B (high)            | normal | default       | run  4 | no_action    | rt=    0 ot=  232 | $0.0002
  [+] gpt-oss-120B (high)            | normal | default       | run  7 | no_action    | rt=    0 ot=  285 | $0.0002
  [+] gpt-oss-20B (high)             | strict | default       | run  8 | no_action    | rt=  655 ot=  615 | $0.0001
  [+] gpt-oss-20B (high)             | normal | default       | run  9 | no_action    | rt= 1226 ot= 1119 | $0.0002
  [+] gpt-oss-120B (high)            | normal | default       | run  5 | other_action | rt=    0 ot=  281 | $0.0002
  [+] gpt-oss-120B (high)            | normal | default       | run  6 | no_action    | rt=    0 ot=  314 | $0.0002
  [+] gpt-oss-20B (high)             | strict | default       | run  9 | other_action | rt=  545 ot=  508 | $0.0001
  [+] gpt-oss-120B (high)            | normal | default       | run  8 | no_action    | rt=    0 ot=  256 | $0.0002
  [+] gpt-oss-120B (high)            | normal | reasoning_off | run  1 | no_action    | rt=    0 ot=   40 | $0.0000
  [+] gpt-oss-20B (high)             | strict | default       | run  7 | no_action    | rt=  946 ot=  873 | $0.0001
  [+] gpt-oss-120B (high)            | normal | reasoning_off | run  0 | no_action    | rt=    0 ot=   99 | $0.0001
  [+] gpt-oss-120B (high)            | normal | reasoning_off | run  3 | no_action    | rt=    0 ot=   41 | $0.0000
  [+] gpt-oss-120B (high)            | normal | reasoning_off | run  2 | no_action    | rt=    0 ot=   84 | $0.0001
  [+] gpt-oss-120B (high)            | normal | default       | run  9 | no_action    | rt=    0 ot=  292 | $0.0002
  [+] gpt-oss-120B (high)            | normal | reasoning_off | run  4 | no_action    | rt=    0 ot=   65 | $0.0001
  [+] gpt-oss-120B (high)            | normal | reasoning_off | run  6 | no_action    | rt=    0 ot=   39 | $0.0000
  [+] gpt-oss-120B (high)            | normal | reasoning_off | run  8 | other_action | rt=    0 ot=   98 | $0.0001
  [+] gpt-oss-120B (high)            | normal | reasoning_off | run  7 | other_action | rt=    0 ot=   64 | $0.0001
  [+] gpt-oss-120B (high)            | normal | reasoning_off | run  5 | other_action | rt=    0 ot=  118 | $0.0001
  [+] gpt-oss-20B (high)             | normal | default       | run  3 | no_action    | rt= 1725 ot= 1584 | $0.0002
  [+] gpt-oss-120B (high)            | normal | reasoning_off | run  9 | no_action    | rt=    0 ot=   79 | $0.0001
  [+] gpt-oss-120B (high)            | strict | default       | run  0 | no_action    | rt=    0 ot=  237 | $0.0002
  [+] gpt-oss-120B (high)            | strict | default       | run  4 | no_action    | rt=    0 ot=  251 | $0.0002
  [+] gpt-oss-120B (high)            | strict | default       | run  1 | other_action | rt=    0 ot=  321 | $0.0002
  [+] gpt-oss-120B (high)            | strict | default       | run  3 | no_action    | rt=    0 ot=  233 | $0.0002
  [+] gpt-oss-120B (high)            | strict | default       | run  2 | no_action    | rt=    0 ot=  234 | $0.0002
  [+] gpt-oss-120B (high)            | strict | default       | run  5 | no_action    | rt=    0 ot=  145 | $0.0001
  [+] gpt-oss-20B (high)             | strict | default       | run  0 | other_action | rt= 1431 ot= 1299 | $0.0002
  [+] gpt-oss-120B (high)            | strict | reasoning_off | run  0 | no_action    | rt=    0 ot=   45 | $0.0000
  [+] gpt-oss-120B (high)            | strict | default       | run  7 | no_action    | rt=    0 ot=  235 | $0.0002
  [+] gpt-oss-120B (high)            | strict | default       | run  6 | other_action | rt=    0 ot=  258 | $0.0002
  [+] gpt-oss-120B (high)            | strict | default       | run  8 | no_action    | rt=    0 ot=  187 | $0.0001
  [+] gpt-oss-120B (high)            | strict | reasoning_off | run  1 | no_action    | rt=    0 ot=  128 | $0.0001
  [+] Claude Opus 4.7 (max)          | normal | default       | run  0 | other_action | rt=    0 ot=  100 | $0.0027
  [+] gpt-oss-120B (high)            | strict | default       | run  9 | no_action    | rt=    0 ot=  295 | $0.0002
  [+] gpt-oss-120B (high)            | strict | reasoning_off | run  2 | no_action    | rt=    0 ot=   89 | $0.0001
  [+] Claude Opus 4.7 (max)          | normal | default       | run  1 | other_action | rt=    0 ot=  120 | $0.0032
  [+] Claude Opus 4.7 (max)          | normal | default       | run  3 | other_action | rt=    0 ot=  151 | $0.0040
  [+] gpt-oss-120B (high)            | strict | reasoning_off | run  3 | no_action    | rt=    0 ot=   71 | $0.0001
  [+] Claude Opus 4.7 (max)          | normal | default       | run  4 | no_action    | rt=    0 ot=  107 | $0.0029
  [+] Claude Opus 4.7 (max)          | normal | default       | run  2 | no_action    | rt=    0 ot=  117 | $0.0031
  [+] Claude Opus 4.7 (max)          | normal | default       | run  6 | other_action | rt=    0 ot=  112 | $0.0030
  [+] gpt-oss-120B (high)            | strict | reasoning_off | run  5 | no_action    | rt=    0 ot=   63 | $0.0001
  [+] gpt-oss-120B (high)            | strict | reasoning_off | run  6 | no_action    | rt=    0 ot=   75 | $0.0001
  [+] Claude Opus 4.7 (max)          | normal | default       | run  5 | other_action | rt=    0 ot=  169 | $0.0044
  [+] gpt-oss-120B (high)            | strict | reasoning_off | run  4 | no_action    | rt=    0 ot=   87 | $0.0001
  [+] Claude Opus 4.7 (max)          | normal | default       | run  7 | other_action | rt=    0 ot=   73 | $0.0020
  [+] gpt-oss-120B (high)            | strict | reasoning_off | run  7 | no_action    | rt=    0 ot=   68 | $0.0001
  [+] gpt-oss-120B (high)            | strict | reasoning_off | run  8 | no_action    | rt=    0 ot=   90 | $0.0001
  [+] gpt-oss-120B (high)            | strict | reasoning_off | run  9 | no_action    | rt=    0 ot=   56 | $0.0000
  [+] Claude Opus 4.7 (max)          | normal | default       | run  8 | other_action | rt=    0 ot=  122 | $0.0032
  [+] Claude Opus 4.7 (max)          | normal | default       | run  9 | no_action    | rt=    0 ot=  120 | $0.0032
  [+] Claude Opus 4.7 (max)          | normal | reasoning_off | run  5 | other_action | rt=    0 ot=  114 | $0.0030
  [+] Claude Opus 4.7 (max)          | normal | reasoning_off | run  3 | other_action | rt=    0 ot=  108 | $0.0029
  [+] Claude Opus 4.7 (max)          | normal | reasoning_off | run  2 | no_action    | rt=    0 ot=  152 | $0.0040
  [+] Claude Opus 4.7 (max)          | normal | reasoning_off | run  0 | no_action    | rt=    0 ot=  194 | $0.0050
  [+] Claude Opus 4.7 (max)          | normal | reasoning_off | run  1 | no_action    | rt=    0 ot=  195 | $0.0051
  [+] Claude Opus 4.7 (max)          | normal | reasoning_off | run  4 | other_action | rt=    0 ot=  194 | $0.0050
  [+] Claude Opus 4.7 (max)          | normal | reasoning_off | run  6 | other_action | rt=    0 ot=  193 | $0.0050
  [+] Claude Opus 4.7 (max)          | normal | reasoning_off | run  7 | pressed      | rt=    0 ot=  178 | $0.0046
  [+] Claude Opus 4.7 (max)          | normal | reasoning_off | run  9 | no_action    | rt=    0 ot=  194 | $0.0050
  [+] Claude Opus 4.7 (max)          | strict | default       | run  1 | no_action    | rt=    0 ot=  101 | $0.0028
  [+] Claude Opus 4.7 (max)          | normal | reasoning_off | run  8 | other_action | rt=    0 ot=  213 | $0.0055
  [+] Claude Opus 4.7 (max)          | strict | default       | run  3 | no_action    | rt=    0 ot=   90 | $0.0025
  [+] Claude Opus 4.7 (max)          | strict | default       | run  0 | other_action | rt=    0 ot=   74 | $0.0021
  [+] Claude Opus 4.7 (max)          | strict | default       | run  2 | no_action    | rt=    0 ot=  127 | $0.0034
  [+] Claude Opus 4.7 (max)          | strict | default       | run  5 | no_action    | rt=    0 ot=  101 | $0.0028
  [+] Claude Opus 4.7 (max)          | strict | default       | run  6 | no_action    | rt=    0 ot=   61 | $0.0018
  [+] Claude Opus 4.7 (max)          | strict | default       | run  7 | no_action    | rt=    0 ot=   87 | $0.0024
  [+] Claude Opus 4.7 (max)          | strict | default       | run  4 | other_action | rt=    0 ot=   96 | $0.0027
  [+] gpt-oss-20B (high)             | strict | default       | run  2 | other_action | rt=  549 ot=  557 | $0.0001
  [+] Claude Opus 4.7 (max)          | strict | default       | run  8 | other_action | rt=    0 ot=   72 | $0.0021
  [+] Claude Opus 4.7 (max)          | strict | reasoning_off | run  1 | no_action    | rt=    0 ot=   79 | $0.0023
